name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime
Show Me Love,Not Rated,Comedy,1998,"October 23, 1998 (Sweden)",7.5,50000.0,Lukas Moodysson,Lukas Moodysson,Alexandra Dahlström,Sweden,,219331.0,Memfis Film,89.0
The Mighty,PG-13,Comedy,1998,"October 30, 1998 (United States)",7.3,13000.0,Peter Chelsom,Rodman Philbrick,Kieran Culkin,United States,,2652246.0,Chaos Productions,100.0
Thursday,R,Action,1998,"September 25, 1998 (United Kingdom)",7.2,18000.0,Skip Woods,Skip Woods,Thomas Jane,United States,,3121.0,Polygram Filmed Entertainment,87.0
"Crna macka, beli macor",R,Comedy,1998,"June 1, 1998 (Federal Republic of Yugoslavia)",8.1,52000.0,Emir Kusturica,Gordan Mihic,Bajram Severdzan,Federal Republic of Yugoslavia,,351447.0,CiBy 2000,127.0
Playing by Heart,R,Comedy,1998,"January 22, 1999 (United States)",7.0,19000.0,Willard Carroll,Willard Carroll,Gillian Anderson,United States,20000000.0,3970078.0,Hyperion Pictures,121.0
Dangerous Beauty,R,Biography,1998,"February 20, 1998 (United States)",7.2,16000.0,Marshall Herskovitz,Margaret Rosenthal,Catherine McCormack,United States,8000000.0,4553271.0,New Regency Productions,111.0
Central Station,R,Drama,1998,"November 20, 1998 (United States)",8.0,37000.0,Walter Salles,Marcos Bernstein,Fernanda Montenegro,Brazil,2900000.0,5971073.0,"Audiovisual Development Bureau, Ministerio da Cultura",110.0
Without Limits,PG-13,Biography,1998,"September 11, 1998 (United States)",7.2,6700.0,Robert Towne,Robert Towne,Billy Crudup,United States,25000000.0,777423.0,Cruise/Wagner Productions,117.0
Smoke Signals,PG-13,Comedy,1998,"November 27, 1998 (Iceland)",7.2,9900.0,Chris Eyre,Sherman Alexie,Adam Beach,United States,2000000.0,6745362.0,ShadowCatcher Entertainment,89.0
Lovers of the Arctic Circle,R,Drama,1998,"August 28, 1998 (Spain)",7.7,18000.0,Julio Medem,Julio Medem,Najwa Nimri,Spain,,357549.0,Canal+,112.0
One True Thing,R,Drama,1998,"September 18, 1998 (United States)",7.0,12000.0,Carl Franklin,Anna Quindlen,Meryl Streep,United States,30000000.0,26616840.0,Monarch Pictures,127.0
Le Dîner de Cons,PG-13,Comedy,1998,"April 15, 1998 (France)",7.7,38000.0,Francis Veber,Francis Veber,Thierry Lhermitte,France,,4071548.0,Gaumont,80.0
After Life,Not Rated,Drama,1998,"April 17, 1999 (Japan)",7.6,11000.0,Hirokazu Koreeda,Hirokazu Koreeda,Arata Iura,Japan,,801985.0,Engine Film,119.0
Savior,R,Drama,1998,"November 20, 1998 (United States)",7.3,11000.0,Predrag Antonijevic,Robert Orr,Dennis Quaid,United States,10000000.0,14328.0,Initial Entertainment Group (IEG),103.0
Little Voice,R,Comedy,1998,"December 4, 1998 (United States)",7.0,16000.0,Mark Herman,Jim Cartwright,Brenda Blethyn,United Kingdom,,4611784.0,Miramax,97.0
The General,R,Biography,1998,"December 18, 1998 (United States)",7.3,8300.0,John Boorman,John Boorman,Brendan Gleeson,United Kingdom,,1214198.0,J & M,124.0
Still Crazy,R,Comedy,1998,"January 22, 1999 (United States)",7.0,7800.0,Brian Gibson,Dick Clement,Stephen Rea,United Kingdom,,524864.0,Columbia Pictures,95.0
Sweet Jane,Not Rated,Drama,1998,"February 1, 1998 (United States)",7.0,534.0,Joe Gayton,Joe Gayton,Samantha Mathis,United States,,,NEO Motion Pictures,83.0
The Matrix,R,Action,1999,"March 31, 1999 (United States)",8.7,1700000.0,Lana Wachowski,Lilly Wachowski,Keanu Reeves,United States,63000000.0,466364845.0,Warner Bros.,136.0
Fight Club,R,Drama,1999,"October 15, 1999 (United States)",8.8,1900000.0,David Fincher,Chuck Palahniuk,Brad Pitt,Germany,63000000.0,101209702.0,Fox 2000 Pictures,139.0
The Talented Mr. Ripley,R,Crime,1999,"December 25, 1999 (United States)",7.4,189000.0,Anthony Minghella,Patricia Highsmith,Matt Damon,United States,40000000.0,128799509.0,Miramax,139.0
Eyes Wide Shut,,Drama,1999,"July 16, 1999 (United States)",7.4,313000.0,Stanley Kubrick,Stanley Kubrick,Tom Cruise,United Kingdom,65000000.0,162242684.0,Warner Bros.,159.0
The Mummy,PG-13,Action,1999,"May 7, 1999 (United States)",7.0,401000.0,Stephen Sommers,Stephen Sommers,Brendan Fraser,United States,80000000.0,415933406.0,Universal Pictures,124.0
American Pie,R,Comedy,1999,"July 9, 1999 (United States)",7.0,385000.0,Paul Weitz,Adam Herz,Jason Biggs,United States,11000000.0,235483004.0,Universal Pictures,95.0
The Green Mile,R,Crime,1999,"December 10, 1999 (United States)",8.6,1200000.0,Frank Darabont,Stephen King,Tom Hanks,United States,60000000.0,286801374.0,Castle Rock Entertainment,189.0
American Beauty,R,Drama,1999,"October 1, 1999 (United States)",8.3,1100000.0,Sam Mendes,Alan Ball,Kevin Spacey,United States,15000000.0,356296601.0,Dreamworks Pictures,122.0
10 Things I Hate About You,PG-13,Comedy,1999,"March 31, 1999 (United States)",7.3,309000.0,Gil Junger,Karen McCullah,Heath Ledger,United States,30000000.0,53478579.0,Touchstone Pictures,97.0
The Sixth Sense,PG-13,Drama,1999,"August 6, 1999 (United States)",8.1,930000.0,M. Night Shyamalan,M. Night Shyamalan,Bruce Willis,United States,40000000.0,672806292.0,Hollywood Pictures,107.0
Office Space,R,Comedy,1999,"February 19, 1999 (United States)",7.7,248000.0,Mike Judge,Mike Judge,Ron Livingston,United States,10000000.0,10828256.0,Twentieth Century Fox,89.0
Galaxy Quest,PG,Adventure,1999,"December 25, 1999 (United States)",7.3,155000.0,Dean Parisot,David Howard,Tim Allen,United States,45000000.0,90683916.0,Dreamworks Pictures,102.0
Notting Hill,PG-13,Comedy,1999,"May 28, 1999 (United States)",7.1,286000.0,Roger Michell,Richard Curtis,Hugh Grant,United Kingdom,42000000.0,363889678.0,Polygram Filmed Entertainment,124.0
The Virgin Suicides,R,Drama,1999,"May 19, 2000 (United States)",7.2,147000.0,Sofia Coppola,Jeffrey Eugenides,Kirsten Dunst,United States,9000000.0,10410044.0,American Zoetrope,97.0
Magnolia,R,Drama,1999,"January 7, 2000 (United States)",8.0,295000.0,Paul Thomas Anderson,Paul Thomas Anderson,Tom Cruise,United States,37000000.0,48451803.0,Ghoulardi Film Company,188.0
"Girl, Interrupted",R,Biography,1999,"January 14, 2000 (United States)",7.3,169000.0,James Mangold,Susanna Kaysen,Winona Ryder,Germany,40000000.0,48350205.0,Columbia Pictures,127.0
The Boondock Saints,R,Action,1999,"January 21, 2000 (Canada)",7.8,230000.0,Troy Duffy,Troy Duffy,Willem Dafoe,United States,6000000.0,30471.0,Franchise Pictures,108.0
Sleepy Hollow,R,Fantasy,1999,"November 19, 1999 (United States)",7.3,338000.0,Tim Burton,Washington Irving,Johnny Depp,United States,100000000.0,206071502.0,Paramount Pictures,105.0
Toy Story 2,G,Animation,1999,"November 24, 1999 (United States)",7.9,540000.0,John Lasseter,John Lasseter,Tom Hanks,United States,90000000.0,497375381.0,Pixar Animation Studios,92.0
Dogma,R,Adventure,1999,"November 12, 1999 (United States)",7.3,210000.0,Kevin Smith,Kevin Smith,Ben Affleck,United States,10000000.0,31429330.0,View Askew Productions,130.0
Tarzan,G,Animation,1999,"June 18, 1999 (United States)",7.3,210000.0,Chris Buck,Tab Murphy,Tony Goldwyn,United States,130000000.0,448191819.0,Walt Disney Pictures,88.0
Election,R,Comedy,1999,"May 7, 1999 (United States)",7.2,92000.0,Alexander Payne,Tom Perrotta,Matthew Broderick,United States,25000000.0,14902041.0,Bona Fide Productions,103.0
Being John Malkovich,R,Comedy,1999,"December 3, 1999 (United States)",7.7,319000.0,Spike Jonze,Charlie Kaufman,John Cusack,United States,13000000.0,23106667.0,Astralwerks,113.0
The Iron Giant,PG,Animation,1999,"August 6, 1999 (United States)",8.0,177000.0,Brad Bird,Tim McCanlies,Eli Marienthal,United States,70000000.0,23180087.0,Warner Bros.,86.0
The Insider,R,Biography,1999,"November 5, 1999 (United States)",7.8,163000.0,Michael Mann,Marie Brenner,Russell Crowe,United States,90000000.0,60289912.0,Touchstone Pictures,157.0
Boys Don't Cry,R,Biography,1999,"March 31, 2000 (United States)",7.5,94000.0,Kimberly Peirce,Kimberly Peirce,Hilary Swank,United States,2000000.0,11540607.0,Fox Searchlight Pictures,118.0
The Cider House Rules,PG-13,Drama,1999,"January 7, 2000 (United States)",7.4,95000.0,Lasse Hallström,John Irving,Tobey Maguire,United States,24000000.0,88545092.0,FilmColony,126.0
October Sky,PG,Biography,1999,"February 19, 1999 (United States)",7.8,85000.0,Joe Johnston,Homer H. Hickam Jr.,Jake Gyllenhaal,United States,25000000.0,34698753.0,Universal Pictures,108.0
Three Kings,R,Action,1999,"October 1, 1999 (United States)",7.1,163000.0,David O. Russell,John Ridley,George Clooney,United States,75000000.0,107752036.0,Warner Bros.,114.0
Go,R,Comedy,1999,"April 9, 1999 (United States)",7.2,68000.0,Doug Liman,John August,Sarah Polley,United States,20000000.0,28451622.0,Columbia Pictures,102.0
Payback,R,Action,1999,"February 5, 1999 (United States)",7.1,133000.0,Brian Helgeland,Donald E. Westlake,Mel Gibson,United States,90000000.0,161626121.0,Icon Entertainment International,100.0
"South Park: Bigger, Longer & Uncut",R,Animation,1999,"June 30, 1999 (United States)",7.7,195000.0,Trey Parker,Trey Parker,Trey Parker,United States,21000000.0,83137603.0,Scott Rudin Productions,81.0
The Straight Story,G,Biography,1999,"November 3, 1999 (France)",8.0,84000.0,David Lynch,John Roach,Richard Farnsworth,France,10000000.0,6416569.0,Asymmetrical Productions,112.0
Man on the Moon,R,Biography,1999,"December 22, 1999 (United States)",7.4,126000.0,Milos Forman,Scott Alexander,Jim Carrey,United Kingdom,82000000.0,47434430.0,Universal Pictures,118.0
Ratcatcher,Not Rated,Drama,1999,"November 12, 1999 (United Kingdom)",7.5,9200.0,Lynne Ramsay,Lynne Ramsay,Tommy Flanagan,United Kingdom,30000.0,217244.0,Pathé Pictures International,94.0
Ravenous,R,Adventure,1999,"March 19, 1999 (United States)",7.0,38000.0,Antonia Bird,Ted Griffin,Guy Pearce,United Kingdom,12000000.0,2062405.0,ETIC Films,101.0
Mansfield Park,PG-13,Comedy,1999,"December 25, 1999 (United States)",7.1,23000.0,Patricia Rozema,Jane Austen,Frances O'Connor,United Kingdom,,4775847.0,Arts Council of England,112.0
Stir of Echoes,R,Horror,1999,"September 10, 1999 (United States)",7.0,77000.0,David Koepp,Richard Matheson,Kevin Bacon,United States,12000000.0,21142914.0,Artisan Entertainment,99.0
Ghost Dog: The Way of the Samurai,R,Action,1999,"March 24, 2000 (United States)",7.5,86000.0,Jim Jarmusch,Jim Jarmusch,Forest Whitaker,France,,9380473.0,Pandora Filmproduktion,116.0
The Thirteenth Floor,R,Mystery,1999,"May 28, 1999 (United States)",7.1,69000.0,Josef Rusnak,Daniel F. Galouye,Craig Bierko,United States,16000000.0,18564088.0,Columbia Pictures,100.0
Arlington Road,R,Action,1999,"July 9, 1999 (United States)",7.2,83000.0,Mark Pellington,Ehren Kruger,Jeff Bridges,United States,31000000.0,41067311.0,Screen Gems,117.0
The Hurricane,R,Biography,1999,"January 14, 2000 (United States)",7.6,93000.0,Norman Jewison,Rubin 'Hurricane' Carter,Denzel Washington,United States,50000000.0,73956241.0,Azoff Entertainment,146.0
All About My Mother,R,Drama,1999,"March 31, 2000 (United States)",7.9,91000.0,Pedro Almodóvar,Pedro Almodóvar,Cecilia Roth,Spain,,67952969.0,El Deseo,101.0
The Limey,R,Crime,1999,"August 4, 1999 (France)",7.0,31000.0,Steven Soderbergh,Lem Dobbs,Terence Stamp,United States,10000000.0,3325736.0,Artisan Entertainment,89.0
Human Traffic,R,Comedy,1999,"May 5, 2000 (United States)",7.1,24000.0,Justin Kerrigan,Justin Kerrigan,John Simm,United Kingdom,,104257.0,Irish Screen,99.0
The War Zone,R,Drama,1999,"June 11, 1999 (Italy)",7.3,9800.0,Tim Roth,Alexander Stuart,Ray Winstone,Italy,,254441.0,Channel Four Films,98.0
Titus,R,Drama,1999,"February 11, 2000 (United States)",7.1,20000.0,Julie Taymor,William Shakespeare,Anthony Hopkins,United Kingdom,,2259680.0,Clear Blue Sky Productions,162.0
Angela's Ashes,R,Biography,1999,"January 21, 2000 (United States)",7.3,21000.0,Alan Parker,Frank McCourt,Emily Watson,United States,50000000.0,13042112.0,David Brown Productions,145.0
The End of the Affair,R,Drama,1999,"January 21, 2000 (United States)",7.1,22000.0,Neil Jordan,Graham Greene,Ralph Fiennes,United Kingdom,23000000.0,10827816.0,Columbia Pictures,102.0
Beau travail,Unrated,Drama,1999,"May 3, 2000 (France)",7.4,9500.0,Claire Denis,Claire Denis,Denis Lavant,France,,,La Sept-Arte,92.0
Sunshine,R,Drama,1999,"July 14, 2000 (United States)",7.5,13000.0,István Szabó,István Szabó,Ralph Fiennes,Germany,,7918035.0,Alliance Atlantis Communications,181.0
Fantasia 2000,G,Animation,1999,"June 16, 2000 (United States)",7.2,36000.0,Directors,Eric Goldberg,James Levine,United States,80000000.0,90874570.0,Walt Disney Pictures,75.0
The Wind Will Carry Us,Not Rated,Drama,1999,"November 24, 1999 (France)",7.5,9600.0,Abbas Kiarostami,Mahmoud Aiden,Behzad Dorani,Iran,,259510.0,MK2 Productions,118.0
The Wood,R,Comedy,1999,"July 16, 1999 (United States)",7.0,8700.0,Rick Famuyiwa,Rick Famuyiwa,Elayn J. Taylor,United States,6000000.0,25059640.0,Bona Fide Productions,106.0
Topsy-Turvy,R,Biography,1999,"February 11, 2000 (United States)",7.4,12000.0,Mike Leigh,Mike Leigh,Jim Broadbent,United Kingdom,,6208548.0,Goldwyn Films,160.0
Kikujiro,PG-13,Drama,1999,"May 26, 2000 (United States)",7.8,19000.0,Takeshi Kitano,Takeshi Kitano,Takeshi Kitano,Japan,,461259.0,Bandai Visual Company,122.0
Sweet and Lowdown,PG-13,Comedy,1999,"March 10, 2000 (United States)",7.2,33000.0,Woody Allen,Woody Allen,Sean Penn,United States,29750000.0,4525794.0,Sweetland Films,95.0
Jin-Roh: The Wolf Brigade,R,Animation,1999,"November 17, 1999 (France)",7.4,16000.0,Hiroyuki Okiura,Mamoru Oshii,Michael Dobson,Japan,,94591.0,Bandai Visual Company,102.0
The Piano Player,Not Rated,Romance,1999,"October 21, 1999 (Germany)",7.8,7400.0,Rolf Schübel,Ruth Toma,Joachim Król,Germany,,646532.0,Studio Hamburg Filmproduktion,112.0
The Winslow Boy,G,Drama,1999,"October 29, 1999 (United Kingdom)",7.3,7500.0,David Mamet,Terence Rattigan,Rebecca Pidgeon,United Kingdom,,3957934.0,Winslow Partners Ltd.,104.0
Liberty Heights,R,Comedy,1999,"December 31, 1999 (United States)",7.0,6500.0,Barry Levinson,Barry Levinson,Adrien Brody,United States,,3736868.0,Baltimore Pictures,127.0
The Color of Paradise,PG,Drama,1999,"September 7, 2000 (Australia)",8.2,16000.0,Majid Majidi,Majid Majidi,Hossein Mahjoub,Iran,,2777552.0,Varahonar Company,90.0
Rosetta,R,Drama,1999,"September 22, 1999 (Belgium)",7.5,13000.0,Jean-Pierre Dardenne,Jean-Pierre Dardenne,Émilie Dequenne,France,,293092.0,ARP Sélection,95.0
Trick,R,Comedy,1999,"July 23, 1999 (United States)",7.2,8400.0,Jim Fall,Jason Schafer,Christian Campbell,United States,450000.0,2087228.0,Good Machine,89.0
A Room for Romeo Brass,R,Comedy,1999,"February 4, 2000 (United Kingdom)",7.6,5500.0,Shane Meadows,Robyn Slovo,Martin Arrowsmith,United Kingdom,,19478.0,Alliance Atlantis Communications,90.0
An Affair of Love,R,Drama,1999,"September 4, 1999 (France)",7.1,5300.0,Frédéric Fonteyne,Philippe Blasband,Nathalie Baye,France,,401299.0,Artémis Productions,80.0
Aimee & Jaguar,Not Rated,Biography,1999,"February 11, 1999 (Germany)",7.2,6200.0,Max Färberböck,Max Färberböck,Maria Schrader,Germany,,927107.0,Senator Film Produktion,125.0
La fille sur le pont,R,Comedy,1999,"March 31, 1999 (France)",7.5,13000.0,Patrice Leconte,Serge Frydman,Vanessa Paradis,France,,,Canal+,90.0
